,date,time,tps
0,2023-08-12,20:51:09.613492000,19290.30
1,2023-08-12,20:51:10.617778000,20820.58
2,2023-08-12,20:51:11.621577000,17039.68
3,2023-08-12,20:51:12.622539000,21833.25
4,2023-08-12,20:51:13.624353000,20990.46
5,2023-08-12,20:51:14.627088000,15249.91
6,2023-08-12,20:51:15.627658000,22519.22
7,2023-08-12,20:51:16.629155000,22002.25
8,2023-08-12,20:51:17.630504000,23073.51
9,2023-08-12,20:51:18.634556000,22884.57
10,2023-08-12,20:51:19.638833000,22936.64
11,2023-08-12,20:51:21.642060000,18199.75
12,2023-08-12,20:51:22.643836000,19993.48
13,2023-08-12,20:51:23.648502000,19490.81
14,2023-08-12,20:51:24.650074000,14078.58
15,2023-08-12,20:51:25.653598000,22795.64
16,2023-08-12,20:51:26.656645000,22119.64
17,2023-08-12,20:51:27.656886000,21394.81
18,2023-08-12,20:51:28.657159000,22560.94
19,2023-08-12,20:51:29.658108000,14236.91
20,2023-08-12,20:51:30.659707000,18441.84
21,2023-08-12,20:51:31.659987000,21166.44
22,2023-08-12,20:51:32.662893000,20608.00
23,2023-08-12,20:51:33.664079000,22009.94
24,2023-08-12,20:51:34.665104000,21114.02
25,2023-08-12,20:51:35.667263000,12988.24
26,2023-08-12,20:51:36.672277000,22003.48
27,2023-08-12,20:51:37.677746000,21413.46
28,2023-08-12,20:51:38.681984000,23601.18
29,2023-08-12,20:51:39.683859000,13802.96
30,2023-08-12,20:51:40.687673000,18080.25
31,2023-08-12,20:51:41.688291000,22092.84
32,2023-08-12,20:51:42.689597000,13786.10
33,2023-08-12,20:51:43.693416000,21037.09
34,2023-08-12,20:51:44.696117000,21980.47
35,2023-08-12,20:51:45.697293000,21116.12
36,2023-08-12,20:51:46.698098000,13420.93
37,2023-08-12,20:51:47.699133000,21051.13
38,2023-08-12,20:51:48.700298000,22180.31
39,2023-08-12,20:51:49.700919000,20825.63
40,2023-08-12,20:51:50.707136000,18485.99
41,2023-08-12,20:51:51.708129000,14010.20
42,2023-08-12,20:51:52.708669000,20385.54
43,2023-08-12,20:51:53.711101000,23520.55
44,2023-08-12,20:51:54.712775000,12922.29
45,2023-08-12,20:51:55.713107000,20328.44
46,2023-08-12,20:51:56.717580000,17895.91
47,2023-08-12,20:51:57.719870000,13231.11
48,2023-08-12,20:51:58.721554000,16373.47
49,2023-08-12,20:51:59.723967000,11385.44
50,2023-08-12,20:52:00.724659000,18326.77
51,2023-08-12,20:52:01.724939000,18861.19
52,2023-08-12,20:52:02.727269000,19714.24
53,2023-08-12,20:52:03.728637000,20636.18
54,2023-08-12,20:52:04.729356000,13826.58
55,2023-08-12,20:52:05.730077000,20245.41
56,2023-08-12,20:52:06.733554000,20180.98
57,2023-08-12,20:52:07.736303000,20400.30
58,2023-08-12,20:52:08.736693000,18221.96
