,date,time,tps
0,2023-08-13,00:35:41.440537000,15982.84
1,2023-08-13,00:35:42.441753000,30557.77
2,2023-08-13,00:35:43.442721000,25091.99
3,2023-08-13,00:35:44.447181000,30529.42
4,2023-08-13,00:35:45.452399000,33907.37
5,2023-08-13,00:35:46.457507000,16857.29
6,2023-08-13,00:35:47.457971000,26068.07
7,2023-08-13,00:35:48.460486000,25239.75
8,2023-08-13,00:35:49.461713000,24464.72
9,2023-08-13,00:35:50.462368000,19371.44
10,2023-08-13,00:35:51.466633000,23674.67
11,2023-08-13,00:35:52.468096000,15306.30
12,2023-08-13,00:35:53.471505000,14716.50
13,2023-08-13,00:35:54.472744000,13722.67
14,2023-08-13,00:35:55.475858000,19568.67
15,2023-08-13,00:35:56.476829000,13331.67
16,2023-08-13,00:35:57.480313000,29138.33
17,2023-08-13,00:35:58.482146000,23389.00
18,2023-08-13,00:35:59.483706000,26231.94
19,2023-08-13,00:36:00.484525000,29858.89
20,2023-08-13,00:36:01.485044000,31790.38
21,2023-08-13,00:36:02.488035000,21020.96
22,2023-08-13,00:36:03.492817000,19911.91
23,2023-08-13,00:36:04.493841000,41200.85
24,2023-08-13,00:36:05.496132000,20281.11
25,2023-08-13,00:36:06.497055000,21405.10
26,2023-08-13,00:36:07.498885000,16650.32
27,2023-08-13,00:36:08.499779000,25659.30
28,2023-08-13,00:36:09.501812000,25386.54
29,2023-08-13,00:36:10.504718000,22261.90
30,2023-08-13,00:36:11.506394000,15219.03
31,2023-08-13,00:36:12.507278000,27987.13
32,2023-08-13,00:36:13.508902000,19116.21
33,2023-08-13,00:36:14.513442000,19589.03
34,2023-08-13,00:36:15.516009000,40540.57
35,2023-08-13,00:36:16.521169000,22751.39
36,2023-08-13,00:36:17.522614000,31603.90
37,2023-08-13,00:36:18.527247000,23581.10
38,2023-08-13,00:36:19.528954000,33153.18
39,2023-08-13,00:36:20.532130000,29947.28
40,2023-08-13,00:36:21.536544000,20846.45
41,2023-08-13,00:36:22.536755000,27891.06
42,2023-08-13,00:36:23.545685000,19343.44
43,2023-08-13,00:36:24.546261000,27274.54
44,2023-08-13,00:36:25.549975000,29032.05
45,2023-08-13,00:36:26.550548000,18126.72
46,2023-08-13,00:36:27.551129000,21996.13
47,2023-08-13,00:36:28.554166000,16766.53
48,2023-08-13,00:36:29.559045000,25241.27
49,2023-08-13,00:36:30.562813000,24509.87
50,2023-08-13,00:36:31.568356000,24327.94
